Authors,Title,Year,Source title,Cited by
"Agostini M., Altenmüller K., Appel S., Atroshchenko V., Bagdasarian Z., Basilico D., Bellini G., Benziger J., Bick D., Bonfini G., Bravo D., Caccianiga B., Calaprice F., Caminata A., Caprioli S., Carlini M., Cavalcante P., Chepurnov A., Choi K., Collica L., D’Angelo D., Davini S., Derbin A., Ding X.F., Di Ludovico A., Di Noto L., Drachnev I., Fomenko K., Formozov A., Franco D., Gabriele F., Galbiati C., Ghiano C., Giammarchi M., Goretti A., Gromov M., Guffanti D., Hagner C., Houdy T., Hungerford E., Ianni A., Ianni A., Jany A., Jeschke D., Kobychev V., Korablev D., Korga G., Kryn D., Laubenstein M., Litvinovich E., Lombardi F., Lombardi P., Ludhova L., Lukyanchenko G., Lukyanchenko L., Machulin I., Manuzio G., Marcocci S., Martyn J., Meroni E., Meyer M., Miramonti L., Misiaszek M., Muratova V., Neumair B., Oberauer L., Opitz B., Orekhov V., Ortica F., Pallavicini M., Papp L., Penek Ö., Pilipenko N., Pocar A., Porcelli A., Raikov G., Ranucci G., Razeto A., Re A., Redchuk M., Romani A., Roncin R., Rossi N., Schönert S., Semenov D., Skorokhvatov M., Smirnov O., Sotnikov A., Stokes L.F.F., Suvorov Y., Tartaglia R., Testera G., Thurn J., Toropova M., Unzhakov E., Villante F.L., Vishneva A., Vogelaar R.B., von Feilitzsch F., Wang H., Weinz S., Wojcik M., Wurm M., Yokley Z., Zaimidoroga O., Zavatarelli S., Zuber K., Zuzel G., The Borexino Collaboration",Comprehensive measurement of pp-chain solar neutrinos,2018,Nature,8
"Chiara C.J., Carroll J.J., Carpenter M.P., Greene J.P., Hartley D.J., Janssens R.V.F., Lane G.J., Marsh J.C., Matters D.A., Polasik M., Rzadkiewicz J., Seweryniak D., Zhu S., Bottoni S., Hayes A.B.",Isomer depletion as experimental evidence of nuclear excitation by electron capture,2018,Nature,8
"Hoshika S., Leal N.A., Kim M.-J., Kim M.-S., Karalkar N.B., Kim H.-J., Bates A.M., Watkins N.E., Jr., SantaLucia H.A., Meyer A.J., DasGupta S., Piccirilli J.A., Ellington A.D., SantaLucia J., Jr., Georgiadis M.M., Benner S.A.",Hachimoji DNA and RNA: A genetic system with eight building blocks,2019,Science,8
"Littman D.R., Singh H.",Asymmetry and immune memory,2007,Science,8
Norman M.,Have Cuprates Earned Their Stripes?,2004,Science,8
"Riback J.A., Bowman M.A., Zmyslowski A., Knoverek C.R., Jumper J., Kaye E.B., Freed K.F., Clark P.L., Sosnick T.R.",Response to comment on “Innovative scattering analysis shows that hydrophobic disordered proteins are expanded in water”,2018,Science,8
"Tian H., Melillo J.M., Kicklighter D.W., Mc Guire A.D., Moore B., Vörösmarty C.J.",Reply: Parameters for global ecosystem models,1999,Nature,8
"Yu J., Jackson N.E., Xu X., Morgenstern Y., Kaufman Y., Ruths M., de Pablo J.J., Tirrell M.",Multivalent counterions diminish the lubricity of polyelectrolyte brushes,2018,Science,8
"Adriani A., Mura A., Orton G., Hansen C., Altieri F., Moriconi M.L., Rogers J., Eichstädt G., Momary T., Ingersoll A.P., Filacchione G., Sindoni G., Tabataba-Vakili F., Dinelli B.M., Fabiano F., Bolton S.J., Connerney J.E.P., Atreya S.K., Lunine J.I., Tosi F., Migliorini A., Grassi D., Piccioni G., Noschese R., Cicchetti A., Plainaki C., Olivieri A., O'Neill M.E., Turrini D., Stefani S., Sordini R., Amoroso M.",Clusters of cyclones encircling Jupiter's poles,2018,Nature,10
"Correa-Baena J.-P., Luo Y., Brenner T.M., Snaider J., Sun S., Li X., Jensen M.A., Hartono N.T.P., Nienhaus L., Wieghold S., Poindexter J.R., Wang S., Meng Y.S., Wang T., Lai B., Holt M.V., Cai Z., Bawendi M.G., Huang L., Buonassisi T., Fenning D.P.",Homogenized halides and alkali cation segregation in alloyed organic-inorganic perovskites,2019,Science,10
"Goremychkin E.A., Park H., Osborn R., Rosenkranz S., Castellan J.-P., Fanelli V.R., Christianson A.D., Stone M.B., Bauer E.D., McClellan K.J., Byler D.D., Lawrence J.M.",Coherent band excitations in CePd3: A comparison of neutron scattering and ab initio theory,2018,Science,10
"Ma R., Saxberg B., Owens C., Leung N., Lu Y., Simon J., Schuster D.I.",A dissipatively stabilized Mott insulator of photons,2019,Nature,10
"Radovic A., Williams M., Rousseau D., Kagan M., Bonacorsi D., Himmel A., Aurisano A., Terao K., Wongjirad T.",Machine learning at the energy and intensity frontiers of particle physics,2018,Nature,11
"Sosnick T.R., Hinshaw J.R.",How proteins fold,2011,Science,11
"Bergemann M., Sesar B., Cohen J.G., Serenelli A.M., Sheffield A., Li T.S., Casagrande L., Johnston K.V., Laporte C.F.P., Price-Whelan A.M., Schönrich R., Gould A.",Two chemically similar stellar overdensities on opposite sides of the plane of the Galactic disk,2018,Nature,12
"Azevedo E.M., Weyl E.G.",Matching markets in the digital age,2016,Science,13
"Chen P., Tao L., Wang T., Zhang J., He A., Lam K.-H., Liu Z., He X., Perry K., Dong M., Jin R.",Structural basis for recognition of frizzled proteins by clostridium difficile toxin B,2018,Science,13
"Chong L., Wen J., Kubal J., Sen F.G., Zou J., Greeley J., Chan M., Barkholtz H., Ding W., Liu D.-J.",Ultralow-loading platinum-cobalt fuel cell catalysts derived from imidazolate frameworks,2018,Science,13
"Clark L.W., Gaj A., Feng L., Chin C.",Collective emission of matter-wave jets from driven Bose-Einstein condensates,2017,Nature,13
"Llopart A., Elwyn S., Coyne J.A.",Fruitflies: Pigmentation and mate choice in Drosophila,2002,Nature,13
"Coates M.I., Gess R.W., Finarelli J.A., Criswell K.E., Tietjen K.",A symmoriiform chondrichthyan braincase and the origin of chimaeroid fishes,2017,Nature,14
"de Barros Damgaard P., Martiniano R., Kamm J., Víctor Moreno-Mayar J., Kroonen G., Peyrot M., Barjamovic G., Rasmussen S., Zacho C., Baimukhanov N., Zaibert V., Merz V., Biddanda A., Merz I., Loman V., Evdokimov V., Usmanova E., Hemphill B., Seguin-Orlando A., Yediay F.E., Ullah I., Sjögren K.-G., Iversen K.H., Choin J., de la Fuente C., Ilardo M., Schroeder H., Moiseyev V., Gromov A., Polyakov A., Omura S., Senyurt S.Y., Ahmad H., McKenzie C., Margaryan A., Hameed A., Samad A., Gul N., Khokhar M.H., Goriunova O.I., Bazaliiskii V.I., Novembre J., Weber A.W., Orlando L., Allentoft M.E., Nielsen R., Kristiansen K., Sikora M., Outram A.K., Durbin R., Willerslev E.",The first horse herders and the impact of early Bronze Age steppe expansions into Asia,2018,Science,14
"Li C., De Grijs R., Deng L., Geller A.M., Xin Y., Hu Y., Faucher-Giguère C.-A.",Formation of new stellar populations from gas accreted by massive young star clusters,2016,Nature,14
"McCoy V.E., Saupe E.E., Lamsdell J.C., Tarhan L.G., McMahon S., Lidgard S., Mayer P., Whalen C.D., Soriano C., Finney L., Vogt S., Clark E.G., Anderson R.P., Petermann H., Locatelli E.R., Briggs D.E.G.",The 'Tully monster' is a vertebrate,2016,Nature,14
Grier D.G.,Vortex rings in a constant electric field,2003,Nature,15
"Yao H., Price T.T., Cantelli G., Ngo B., Warner M.J., Olivere L., Ridge S.M., Jablonski E.M., Therrien J., Tannheimer S., McCall C.M., Chenn A., Sipkins D.A.",Leukaemia hijacks a neural mechanism to invade the central nervous system,2018,Nature,15
"Fowlie M., Goulder L., Kotchen M., Borenstein S., Bushnell J., Davis L., Greenstone M., Kolstad C., Knittel C., Stavins R., Wara M., Wolak F., Wolfram C.",An economic perspective on the EPA's clean power plan,2014,Science,16
"Lavoie H., Sahmi M., Maisonneuve P., Marullo S.A., Thevakumaran N., Jin T., Kurinov I., Sicheri F., Therrien M.",MEK drives BRAF activation through allosteric control of KSR proteins,2018,Nature,16
