Authors,Title,Year,Source title,Page start,Page end,Cited by
"Benkman, C.W.",Biotic interaction strength and the intensity of selection,2013,Ecology Letters,1054,1060,13
"Civitello, D.J., Pearsall, S., Duffy, M.A., Hall, S.R.",Parasite consumption and host interference can inhibit disease spread in dense populations,2013,Ecology Letters,626,634,13
"Cockburn, S.N., Haselkorn, T.S., Hamilton, P.T., Landzberg, E., Jaenike, J., Perlman, S.J.",Dynamics of the continent-wide spread of a Drosophila defensive symbiont,2013,Ecology Letters,609,616,13
"Maharjan, R., Nilsson, S., Sung, J., Haynes, K., Beardmore, R.E., Hurst, L.D., Ferenci, T., Gudelj, I.",The form of a trade-off determines the response to competition,2013,Ecology Letters,1267,1276,13
"Masri, L., Schulte, R.D., Timmermeyer, N., Thanisch, S., Crummenerl, L.L., Jansen, G., Michiels, N.K., Schulenburg, H.",Sex differences in host defence interfere with parasite-mediated selection for outcrossing during host-parasite coevolution,2013,Ecology Letters,461,468,13
"Morueta-Holme, N., Enquist, B.J., Mcgill, B.J., Boyle, B., Jørgensen, P.M., Ott, J.E., Peet, R.K., Šímová, I., Sloat, L.L., Thiers, B., Violle, C., Wiser, S.K., Dolins, S., Donoghue, J.C., Kraft, N.J.B., Regetz, J., Schildhauer, M., Spencer, N., Svenning, J.-C.",Habitat area and climate stability determine geographical variation in plant species range sizes,2013,Ecology Letters,1446,1454,13
"Amiot, J., Salmon, Y., Collin, C., Thompson, J.D.",Differential resistance to freezing and spatial distribution in a chemically polymorphic plant Thymus vulgaris,2005,Ecology Letters,370,377,14
"Long, Z.T., Morin, P.J.",Effects of organism size and community composition on ecosystem functioning,2005,Ecology Letters,1271,1282,14
"Peters, H.A., Cleland, E.E., Mooney, H.A., Field, C.B.",Herbivore control of annual grassland composition in current and future environments,2006,Ecology Letters,86,94,14
"Kobe, R.K., Vriesendorp, C.F.",Size of sampling unit strongly influences detection of seedling limitation in a wet tropical forest,2009,Ecology Letters,220,228,14
"Peterson, R.O., Vucetich, J.A., Fenton, G., Drummer, T.D., Larsen, C.S.",Ecology of arthritis,2010,Ecology Letters,1124,1128,14
"Amano, T., Kusumoto, Y., Okamura, H., Baba, Y.G., Hamasaki, K., Tanaka, K., Yamamoto, S.",A macro-scale perspective on within-farm management: How climate and topography alter the effect of farming practices,2011,Ecology Letters,1263,1272,14
