Authors,Title,Year,Source title,Page start,Page end,Cited by
"Jackson, A.L., Inger, R., Bearhop, S., Parnell, A.","Erroneous behaviour of MixSIR, a recently published Bayesian isotope mixing model: A discussion of Moore &amp; Semmens (2008)",2009,Ecology Letters,,,92
"Ferrari, N., Cattadori, I.M., Nespereira, J., Rizzoli, A., Hudson, P.J.",The role of host sex in parasite dynamics: Field experiments on the yellow-necked mouse Apodemus flavicollis,2004,Ecology Letters,88,94,93
"Etienne, R.S., Alonso, D.",A dispersal-limited sampling theory for species and alleles,2005,Ecology Letters,1147,1156,93
"Bailey, J.K., Wooley, S.C., Lindroth, R.L., Whitham, T.G.",Importance of species interactions to community heritability: A genetic basis to trophic-level interactions,2006,Ecology Letters,78,85,93
"Elmhagen, B., Rushton, S.P.",Trophic control of mesopredators in terrestrial ecosystems: Top-down or bottom-up?,2007,Ecology Letters,197,206,93
"Maron, J.L., Marler, M., Klironomos, J.N., Cleveland, C.C.",Soil fungal pathogens and the relationship between plant diversity and productivity,2011,Ecology Letters,36,41,93
"de Vries, F.T., Manning, P., Tallowin, J.R.B., Mortimer, S.R., Pilgrim, E.S., Harrison, K.A., Hobbs, P.J., Quirk, H., Shipley, B., Cornelissen, J.H.C., Kattge, J., Bardgett, R.D.",Abiotic drivers and plant traits explain landscape-scale patterns in soil microbial communities,2012,Ecology Letters,1230,1239,93
"Stibor, H., Vadstein, O., Diehl, S., Gelzleichter, A., Hansen, T., Hantzsche, F., Katechakis, A., Lippert, B., Løseth, K., Peters, C., Roederer, W., Sandow, M., Sundt-Hansen, L., Olsen, Y.",Copepods act as a switch between alternative trophic cascades in marine pelagic food webs,2004,Ecology Letters,321,328,94
"Thelen, G.C., Vivanco, J.M., Newingham, B., Good, W., Bais, H.P., Landres, P., Caesar, A., Callaway, R.M.",Insect herbivory stimulates allelopathic exudation by an invasive plant and the suppression of natives,2005,Ecology Letters,209,217,94
"Grantham, H.S., Wilson, K.A., Moilanen, A., Rebelo, T., Possingham, H.P.",Delaying conservation actions for improved knowledge: How long should we wait?,2009,Ecology Letters,293,301,94
"Pearman, P.B., Garner, T.W.J.",Susceptibility of Italian agile frog populations to an emerging strain of Ranavirus parallels population genetic diversity,2005,Ecology Letters,401,408,95
"Shepherd, T.D., Myers, R.A.",Direct and indirect fishery effects on small coastal elasmobranchs in the northern Gulf of Mexico,2005,Ecology Letters,1095,1104,95
"Pandolfi, J.M., Jackson, J.B.C.",Ecological persistence interrupted in Caribbean coral reefs,2006,Ecology Letters,818,826,95
"Vilà, M., Vayreda, J., Comas, L., Ibáñez, J.J., Mata, T., Obón, B.",Species richness and wood production: A positive association in Mediterranean forests,2007,Ecology Letters,241,250,95
"Kreft, H., Jetz, W., Mutke, J., Kier, G., Barthlott, W.",Global diversity of island floras from a macroecological perspective,2008,Ecology Letters,116,127,95
"Gurarie, E., Andrews, R.D., Laidre, K.L.",A novel method for identifying behavioural changes in animal movement data,2009,Ecology Letters,395,408,95
"Okuyama, T., Holland, J.N.",Network structural properties mediate the stability of mutualistic communities,2008,Ecology Letters,208,216,96
"Allen, A.P., Gillooly, J.F.",Towards an integration of ecological stoichiometry and the metabolic theory of ecology to better understand nutrient cycling,2009,Ecology Letters,369,384,96
"Oliver, T., Roy, D.B., Hill, J.K., Brereton, T., Thomas, C.D.",Heterogeneous landscapes promote population stability,2010,Ecology Letters,473,484,96
"Han, W.X., Fang, J.Y., Reich, P.B., Ian Woodward, F., Wang, Z.H.","Biogeography and variability of eleven mineral elements in plant leaves across gradients of climate, soil and plant functional type in China",2011,Ecology Letters,788,796,96
"Boulangeat, I., Gravel, D., Thuiller, W.",Accounting for dispersal and biotic interactions to disentangle the drivers of species distributions and their abundances,2012,Ecology Letters,584,593,96
"Etienne, R.S., Olff, M.",A novel genealogical approach to neutral biodiversity theory,2004,Ecology Letters,170,175,97
"Anderson, K.J., Jetz, W.",The broad-scale ecology of energy expenditure of endotherms,2005,Ecology Letters,310,318,97
"Colles, A., Liow, L.H., Prinzing, A.","Are specialists at risk under environmental change? Neoecological, paleoecological and phylogenetic approaches",2009,Ecology Letters,849,863,97
"Gotelli, N.J., Anderson, M.J., Arita, H.T., Chao, A., Colwell, R.K., Connolly, S.R., Currie, D.J., Dunn, R.R., Graves, G.R., Green, J.L., Grytnes, J.-A., Jiang, Y.-H., Jetz, W., Kathleen Lyons, S., McCain, C.M., Magurran, A.E., Rahbek, C., Rangel, T.F.L.V.B., Soberón, J., Webb, C.O., Willig, M.R.",Patterns and causes of species richness: A general simulation model for macroecology,2009,Ecology Letters,873,886,97
"Schippers, P., Lürling, M., Scheffer, M.",Increase of atmospheric CO2 promotes phytoplankton productivity,2004,Ecology Letters,446,451,98
"Lele, S.R., Dennis, B., Lutscher, F.",Data cloning: Easy maximum likelihood estimation for complex ecological models using Bayesian Markov chain Monte Carlo methods,2007,Ecology Letters,551,563,98
"Carpenter, S.R., Brock, W.A., Cole, J.J., Kitchell, J.F., Pace, M.L.",Leading indicators of trophic cascades,2008,Ecology Letters,128,138,98
"Dunn, R.R., Agosti, D., Andersen, A.N., Arnan, X., Bruhl, C.A., Cerdá, X., Ellison, A.M., Fisher, B.L., Fitzpatrick, M.C., Gibb, H., Gotelli, N.J., Gove, A.D., Guenard, B., Janda, M., Kaspari, M., Laurent, E.J., Lessard, J.-P., Longino, J.T., Majer, J.D., Menke, S.B., McGlynn, T.P., Parr, C.L., Philpott, S.M., Pfeiffer, M., Retana, J., Suarez, A.V., Vasconcelos, H.L., Weiser, M.D., Sanders, N.J.",Climatic drivers of hemispheric asymmetry in global patterns of ant species richness,2009,Ecology Letters,324,333,98
"Bellwood, D.R., Hughes, T.P., Connolly, S.R., Tanner, J.",Environmental and geometric constraints on Indo-Pacific coral reef biodiversity,2005,Ecology Letters,643,651,99
"Fryxell, J.M., Wilmshurst, J.F., Sinclair, A.R.E., Haydon, D.T., Holt, R.D., Abrams, P.A.","Landscape scale, heterogeneity, and the viability of Serengeti grazers",2005,Ecology Letters,328,335,99
"Kunert, G., Otto, S., Röse, U.S.R., Gershenzon, J., Weisser, W.W.",Alarm pheromone mediates production of winged dispersal morphs in aphids,2005,Ecology Letters,596,603,99
"Nussey, D.H., Kruuk, L.E.B., Donald, A., Fowlie, M., Clutton-Brock, T.H.",The rate of senescence in maternal performance increases with early-life fecundity in red deer,2006,Ecology Letters,1342,1350,99
"Olsson, I.C., Greenberg, L.A., Bergman, E., Wysujack, K.",Environmentally induced migration: The importance of food,2006,Ecology Letters,645,651,99
"Qian, H., Ricklefs, R.E.",The role of exotic species in homogenizing the north American flora,2006,Ecology Letters,1293,1298,99
"Stanley Harpole, W., Tilman, D.",Non-neutral patterns of species abundance in grassland communities,2006,Ecology Letters,15,23,99
"Schmitz, O.J., Hawlena, D., Trussell, G.C.",Predator control of ecosystem nutrient dynamics,2010,Ecology Letters,1199,1209,99
"Murphy, B.P., Bowman, D.M.J.S.",What controls the distribution of tropical forest and savanna?,2012,Ecology Letters,748,758,99
"Loreau, M., de Mazancourt, C.",Biodiversity and ecosystem stability: A synthesis of underlying mechanisms,2013,Ecology Letters,106,115,99
"Dimitrakopoulos, P.G., Schmid, B.",Biodiversity effects increase linearly with biotope space,2004,Ecology Letters,574,583,100
"Wimp, G.M., Young, W.P., Woolbright, S.A., Martinsen, G.D., Keim, P., Whitham, T.G.",Conserving plant genetic diversity for dependent animal communities,2004,Ecology Letters,776,780,100
"Trussell, G.C., Ewanchuk, P.J., Matassa, C.M.",Habitat effects on the relative importance of trait- and density-mediated indirect interactions,2006,Ecology Letters,1245,1252,100
"Pearman, P.B., Randin, C.F., Broennimann, O., Vittoz, P., Knaap, W.O.V.D., Engler, R., Lay, G.L., Zimmermann, N.E., Guisan, A.",Prediction of plant species distributions across six millennia,2008,Ecology Letters,357,369,100
"Lambers, J.H.R., Harpole, W.S., Tilman, D., Knops, J., Reich, P.B.",Mechanisms responsible for the positive diversity-productivity relationship in Minnesota grasslands,2004,Ecology Letters,661,668,101
"Niklas, K.J., Owens, T., Reich, P.B., Cobb, E.D.",Nitrogen/phosphorus leaf stoichiometry and the scaling of plant growth,2005,Ecology Letters,636,642,101
"Carpenter, R.C., Edmunds, P.J.",Local and regional scale recovery of Diadema promotes recruitment of scleractinian corals,2006,Ecology Letters,268,277,101
"Hardesty, B.D., Hubbell, S.P., Bermingham, E.",Genetic evidence of frequent long-distance recruitment in a vertebrate-dispersed tree,2006,Ecology Letters,516,525,101
"Steppuhn, A., Baldwin, I.T.",Resistance management in a native plant: Nicotine prevents herbivores from compensating for plant protease inhibitors,2007,Ecology Letters,499,511,101
"Bezemer, T.M., De Deyn, G.B., Bossinga, T.M., Van Dam, N.M., Harvey, J.A., Van Der Putten, W.H.",Soil community composition drives aboveground plant-herbivore-parasitoid interactions,2005,Ecology Letters,652,661,102
"Dijkstra, F.A., Cheng, W.",Interactions between soil and tree roots accelerate long-term soil carbon decomposition,2007,Ecology Letters,1046,1053,102
"Bossdorf, O., Prati, D., Auge, H., Schmid, B.",Reduced competitive ability in an invasive plant,2004,Ecology Letters,346,353,103
"Spiegel, O., Nathan, R.",Incorporating dispersal distance into the disperser effectiveness framework: Frugivorous birds provide complementary dispersal to plants in a patchy environment,2007,Ecology Letters,718,728,103
"Hamede, R.K., Bashford, J., McCallum, H., Jones, M.",Contact networks in a wild Tasmanian devil (Sarcophilus harrisii) population: Using social network analysis to reveal seasonal variability in social behaviour and its implications for transmission of devil facial tumour disease,2009,Ecology Letters,1147,1157,103
"Hastings, A., Wysham, D.B.",Regime shifts in ecological systems can occur with no warning,2010,Ecology Letters,464,472,103
"Newman, M.J.H., Paredes, G.A., Sala, E., Jackson, J.B.C.",Structure of Caribbean coral reef communities across a large gradient of fish biomass,2006,Ecology Letters,1216,1227,104
"Wolfe, L.M., Elzinga, J.A., Biere, A.",Increased susceptibility to enemies following introduction in the invasive plant Silene latifolia,2004,Ecology Letters,813,820,105
"Bruno, J.F., Boyer, K.E., Duffy, J.E., Lee, S.C., Kertesz, J.S.",Effects of macroalgal species identity and richness on primary production in benthic marine communities,2005,Ecology Letters,1165,1174,105
"Halpern, B.S., Regan, H.M., Possingham, H.P., McCarthy, M.A.",Accounting for uncertainty in marine reserve design,2006,Ecology Letters,2,11,105
"Regan, T.J., McCarthy, M.A., Baxter, P.W.J., Dane Panetta, F., Possingham, H.P.",Optimal eradication: When to stop looking for an invasive plant,2006,Ecology Letters,759,766,105
"Maestre, F.T., Bowker, M.A., Puche, M.D., Belén Hinojosa, M., Martínez, I., García-Palacios, P., Castillo, A.P., Soliveres, S., Luzuriaga, A.L., Sánchez, A.M., Carreira, J.A., Gallardo, A., Escudero, A.",Shrub encroachment can reverse desertification in semi-arid Mediterranean grasslands,2009,Ecology Letters,930,941,105
"Baraloto, C., Paine, C.E.T., Poorter, L., Beauchene, J., Bonal, D., Domenach, A.-M., Hérault, B., Patiño, S., Roggy, J.-C., Chave, J.",Decoupled leaf and stem economics in rain forest trees,2010,Ecology Letters,1338,1347,105
"Chassot, E., Bonhommeau, S., Dulvy, N.K., Mélin, F., Watson, R., Gascuel, D., Le Pape, O.",Global marine primary production constrains fisheries catches,2010,Ecology Letters,495,505,105
"Hill, G.E.",Condition-dependent traits as signals of the functionality of vital cellular processes,2011,Ecology Letters,625,634,105
"Fox, J.W.",Interpreting the 'selection effect' of biodiversity on ecosystem function,2005,Ecology Letters,846,856,106
"Wernberg, T., Thomsen, M.S., Tuya, F., Kendrick, G.A., Staehr, P.A., Toohey, B.D.",Decreasing resilience of kelp beds along a latitudinal temperature gradient: Potential implications for a warmer future,2010,Ecology Letters,685,694,106
"Dangles, O., Malmqvist, B.",Species richness-decomposition relationships depend on species dominance,2004,Ecology Letters,395,402,108
"Hillebrand, H., Cardinale, B.J.",Consumer effects decline with prey diversity,2004,Ecology Letters,192,201,108
"Bancroft, B.A., Baker, N.J., Blaustein, A.R.",Effects of UVB radiation on marine and freshwater organisms: A synthesis through meta-analysis,2007,Ecology Letters,332,345,108
"Srivastava, D.S., Cadotte, M.W., Macdonald, A.A.M., Marushia, R.G., Mirotchnick, N.",Phylogenetic diversity and the functioning of ecosystems,2012,Ecology Letters,637,648,108
"Gamfeldt, L., Hillebrand, H., Jonsson, P.R.",Species richness changes across two trophic levels simultaneously affect prey and consumer biomass,2005,Ecology Letters,696,703,109
"Helmus, M.R., Savage, K., Diebel, M.W., Maxted, J.T., Ives, A.R.",Separating the determinants of phylogenetic community structure,2007,Ecology Letters,917,925,109
"Kaiser-Bunbury, C.N., Muff, S., Memmott, J., Müller, C.B., Caflisch, A.",The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour,2010,Ecology Letters,442,452,109
"De Bie, T., De Meester, L., Brendonck, L., Martens, K., Goddeeris, B., Ercken, D., Hampel, H., Denys, L., Vanhecke, L., Van der Gucht, K., Van Wichelen, J., Vyverman, W., Declerck, S.A.J.",Body size and dispersal mode as key traits determining metacommunity structure of aquatic organisms,2012,Ecology Letters,740,747,109
"Qian, H., Ricklefs, R.E.",A latitudinal gradient in large-scale beta diversity for vascular plants in North America,2007,Ecology Letters,737,744,110
"Carroll, S.P., Loye, J.E., Dingle, H., Mathieson, M., Famula, T.R., Zalucki, M.P.",And the beak shall inherit - Evolution in response to invasion,2005,Ecology Letters,944,951,111
"Koch, A.M., Croll, D., Sanders, I.R.",Genetic variability in a population of arbuscular mycorrhizal fungi causes variation in plant growth,2006,Ecology Letters,103,110,111
"Isbell, F.I., Polley, H.W., Wilsey, B.J.","Biodiversity, productivity and the temporal stability of productivity: Patterns and processes",2009,Ecology Letters,443,451,111
"Violle, C., Nemergut, D.R., Pu, Z., Jiang, L.",Phylogenetic limiting similarity and competitive exclusion,2011,Ecology Letters,782,787,111
"Huntley, B., Green, R.E., Collingham, Y.C., Hill, J.K., Willis, S.G., Bartlein, P.J., Cramer, W., Hagemeijer, W.J.M., Thomas, C.J.",The performance of models relating species geographical distributions to climate is independent of trophic level,2004,Ecology Letters,417,426,113
"Russo, S.E., Augspurger, C.K.",Aggregated seed dispersal by spider monkeys limits recruitment to clumped patterns in Virola calophylla,2004,Ecology Letters,1058,1067,113
"Belliure, B., Janssen, A., Maris, P.C., Peters, D., Sabelis, M.W.",Herbivore arthropods benefit from vectoring plant viruses,2005,Ecology Letters,70,79,113
"Dang, C.K., Chauvet, E., Gessner, M.O.",Magnitude and variability of process rates in fungal diversity-litter decomposition relationships,2005,Ecology Letters,1129,1137,114
"Burton, O.J., Phillips, B.L., Travis, J.M.J.",Trade-offs and the evolution of life-histories during range expansion,2010,Ecology Letters,1210,1220,114
"Van Der Heijden, M.G.A.",Arbuscular mycorrhizal fungi as support systems for seedling establishment in grassland,2004,Ecology Letters,293,303,115
"Morlon, H., Chuyong, G., Condit, R., Hubbell, S., Kenfack, D., Thomas, D., Valencia, R., Green, J.L.",A general framework for the distance-decay of similarity in ecological communities,2008,Ecology Letters,904,917,115
"Cadotte, M.W., Jonathan Davies, T., Regetz, J., Kembel, S.W., Cleland, E., Oakley, T.H.","Phylogenetic diversity metrics for ecological communities: Integrating species richness, abundance and evolutionary history",2010,Ecology Letters,96,105,115
"Byrnes, J., Stachowicz, J.J., Hultgren, K.M., Randall Hughes, A., Olyarnik, S.V., Thornber, C.S.",Predator diversity strengthens trophic cascades in kelp forests by modifying herbivore behaviour,2006,Ecology Letters,61,71,116
"Boon, A.K., Réale, D., Boutin, S.","The interaction between personality, offspring fitness and food abundance in North American red squirrels",2007,Ecology Letters,1094,1104,116
"Duffy, M.A., Sivars-Becker, L.",Rapid evolution and ecological host-parasite dynamics,2007,Ecology Letters,44,53,116
"Rasmann, S., Turlings, T.C.J.",Simultaneous feeding by aboveground and belowground herbivores attenuates plant-mediated attraction of their respective natural enemies,2007,Ecology Letters,926,936,116
"Whittingham, M.J., Krebs, J.R., Swetnam, R.D., Vickery, J.A., Wilson, J.D., Freckleton, R.P.",Should conservation strategies consider spatial generality? Farmland birds show regional not national patterns of habitat association,2007,Ecology Letters,25,35,116
"Gosler, A.G., Higham, J.P., Reynolds, S.J.",Why are birds' eggs speckled?,2005,Ecology Letters,1105,1113,118
"Kennedy, C.M., Lonsdorf, E., Neel, M.C., Williams, N.M., Ricketts, T.H., Winfree, R., Bommarco, R., Brittain, C., Burley, A.L., Cariveau, D., Carvalheiro, L.G., Chacoff, N.P., Cunningham, S.A., Danforth, B.N., Dudenhöffer, J.-H., Elle, E., Gaines, H.R., Garibaldi, L.A., Gratton, C., Holzschuh, A., Isaacs, R., Javorek, S.K., Jha, S., Klein, A.M., Krewenka, K., Mandelik, Y., Mayfield, M.M., Morandin, L., Neame, L.A., Otieno, M., Park, M., Potts, S.G., Rundlöf, M., Saez, A., Steffan-Dewenter, I., Taki, H., Viana, B.F., Westphal, C., Wilson, J.K., Greenleaf, S.S., Kremen, C.",A global quantitative synthesis of local and landscape effects on wild bee pollinators in agroecosystems,2013,Ecology Letters,584,599,118
"Qian, H., Ricklefs, R.E., White, P.S.",Beta diversity of angiosperms in temperate floras of eastern Asia and eastern North America,2005,Ecology Letters,15,22,120
"Kauffman, M.J., Varley, N., Smith, D.W., Stahler, D.R., MacNulty, D.R., Boyce, M.S.",Landscape heterogeneity shapes predation in a newly restored predator-prey system,2007,Ecology Letters,690,700,120
"He, Z., Xu, M., Deng, Y., Kang, S., Kellogg, L., Wu, L., Van Nostrand, J.D., Hobbie, S.E., Reich, P.B., Zhou, J.",Metagenomic analysis reveals a marked divergence in the structure of belowground microbial communities at elevated CO2,2010,Ecology Letters,564,575,121
"Field, S.A., Tyre, A.J., Jonzén, N., Rhodes, J.R., Possingham, H.P.",Minimizing the cost of environmental management decisions by optimizing statistical thresholds,2004,Ecology Letters,669,675,122
"Ozinga, W.A., Römermann, C., Bekker, R.M., Prinzing, A., Tamis, W.L.M., Schaminée, J.H.J., Hennekens, S.M., Thompson, K., Poschlod, P., Kleyer, M., Bakker, J.P., Van Groenendael, J.M.",Dispersal failure contributes to plant losses in NW Europe,2009,Ecology Letters,66,74,122
"Hanski, I., Erälahti, C., Kankare, M., Ovaskainen, O., Sirén, H.",Variation in migration propensity among individuals maintained by landscape structure,2004,Ecology Letters,958,966,124
"Pautasso, M.",Scale dependence of the correlation between human population presence and vertebrate and plant species richness,2007,Ecology Letters,16,24,124
"Frost, P.C., Benstead, J.P., Cross, W.F., Hillebrand, H., Larson, J.H., Xenopoulos, M.A., Yoshida, T.",Threshold elemental ratios of carbon and phosphorus in aquatic consumers,2006,Ecology Letters,774,779,125
"Feeley, K.J., Joseph Wright, S., Nur Supardi, M.N., Kassim, A.R., Davies, S.J.",Decelerating growth in tropical forest trees,2007,Ecology Letters,461,469,125
"Pollierer, M.M., Langel, R., Körner, C., Maraun, M., Scheu, S.",The underestimated importance of belowground carbon input for forest soil animal food webs,2007,Ecology Letters,729,736,125
"Dlugosch, K.M., Parker, I.M.",Invading populations of an ornamental shrub show rapid life history evolution despite genetic bottlenecks,2008,Ecology Letters,701,709,125
"Weedon, J.T., Cornwell, W.K., Cornelissen, J.H.C., Zanne, A.E., Wirth, C., Coomes, D.A.",Global meta-analysis of wood decomposition rates: A role for trait variation among tree species?,2009,Ecology Letters,45,56,125
"Bartlett, M.K., Scoffoni, C., Sack, L.",The determinants of leaf turgor loss point and prediction of drought tolerance of species and biomes: A global meta-analysis,2012,Ecology Letters,393,405,125
"Nugues, M.M., Smith, G.W., Van Hooidonk, R.J., Seabra, M.I., Bak, R.P.M.",Algal contact as a trigger for coral disease,2004,Ecology Letters,919,923,126
"Ricciardi, A., Atkinson, S.K.",Distinctiveness magnifies the impact of biological invaders in aquatic ecosystems,2004,Ecology Letters,781,784,127
"Bruno, J.F., O'Connor, M.I.",Cascading effects of predator diversity and omnivory in a marine food web,2005,Ecology Letters,1048,1056,127
"Parker, J.D., Hay, M.E.",Biotic resistance to plant invasions? Native herbivores prefer non-native plants,2005,Ecology Letters,959,967,127
"Hole, D.G., Willis, S.G., Pain, D.J., Fishpool, L.D., Butchart, S.H.M., Collingham, Y.C., Rahbek, C., Huntley, B.",Projected impacts of climate change on a continent-wide protected area network,2009,Ecology Letters,420,431,129
"Morales, C.L., Traveset, A.",A meta-analysis of impacts of alien vs. native plants on pollinator visitation and reproductive success of co-flowering native plants,2009,Ecology Letters,716,728,129
"Durant, J.M., Hjermann, D.Ø., Anker-Nilssen, T., Beaugrand, G., Mysterud, A., Pettorelli, N., Stenseth, N.Chr.",Timing and abundance as key mechanisms affecting trophic interactions in variable environments,2005,Ecology Letters,952,958,131
"Frank, K.T., Petrie, B., Shackell, N.L., Choi, J.S.",Reconciling differences in trophic control in mid-latitude marine ecosystems,2006,Ecology Letters,1096,1105,131
"Clark, C.M., Cleland, E.E., Collins, S.L., Fargione, J.E., Gough, L., Gross, K.L., Pennings, S.C., Suding, K.N., Grace, J.B.",Environmental and plant community determinants of species loss following nitrogen enrichment,2007,Ecology Letters,596,607,131
"Roscher, C., Temperton, V.M., Scherer-Lorenzen, M., Schmitz, M., Schumacher, J., Schmid, B., Buchmann, N., Weisser, W.W., Schulze, E.-D.",Overyielding in experimental grassland communities - Irrespective of species pool or spatial scale,2005,Ecology Letters,419,429,132
"Moore, R.P., Robinson, W.D., Lovette, I.J., Robinson, T.R.",Experimental evidence for extreme dispersal limitation in tropical forest birds,2008,Ecology Letters,960,968,132
"Toby Kiers, E., Palmer, T.M., Ives, A.R., Bruno, J.F., Bronstein, J.L.",Mutualisms in a changing world: An evolutionary perspective,2010,Ecology Letters,1459,1474,132
"Gabriel, D., Sait, S.M., Hodgson, J.A., Schmutz, U., Kunin, W.E., Benton, T.G.",Scale matters: The impact of organic farming on biodiversity at different spatial scales,2010,Ecology Letters,858,869,134
"Schoeppner, N.M., Relyea, R.A.","Damage, digestion, and defence: The roles of alarm cues and kairomones for inducing prey defences",2005,Ecology Letters,505,512,135
"Reich, P.B., Tjoelker, M.G., Pregitzer, K.S., Wright, I.J., Oleksyn, J., Machado, J.-L.","Scaling of respiration to nitrogen in leaves, stems and roots of higher land plants",2008,Ecology Letters,793,801,135
"Kembel, S.W.",Disentangling niche and neutral influences on community assembly: Assessing the performance of community phylogenetic structure tests,2009,Ecology Letters,949,960,135
"Ayre, D.J., Hughes, T.P.","Climate change, genotypic diversity and gene flow in reef-building corals",2004,Ecology Letters,273,278,136
"Guisan, A., Tingley, R., Baumgartner, J.B., Naujokaitis-Lewis, I., Sutcliffe, P.R., Tulloch, A.I.T., Regan, T.J., Brotons, L., Mcdonald-Madden, E., Mantyka-Pringle, C., Martin, T.G., Rhodes, J.R., Maggini, R., Setterfield, S.A., Elith, J., Schwartz, M.W., Wintle, B.A., Broennimann, O., Austin, M., Ferrier, S., Kearney, M.R., Possingham, H.P., Buckley, Y.M.",Predicting species distributions for conservation decisions,2013,Ecology Letters,1424,1435,136
"Wright, J.P., Naeem, S., Hector, A., Lehman, C., Reich, P.B., Schmid, B., Tilman, D.",Conventional functional classification schemes underestimate the relationship with ecosystem functioning,2006,Ecology Letters,111,120,137
"Liu, L., Greaver, T.L.",A global perspective on belowground carbon dynamics under nitrogen enrichment,2010,Ecology Letters,819,828,137
"He, Q., Bertness, M.D., Altieri, A.H.",Global shifts towards positive species interactions with increasing environmental stress,2013,Ecology Letters,695,706,137
"Fontaine, S., Barot, S.",Size and functional diversity of microbe populations control plant persistence and long-term soil carbon accumulation,2005,Ecology Letters,1075,1087,138
"Fortuna, M.A., Bascompte, J.",Habitat loss and the structure of plant-animal mutualistic networks,2006,Ecology Letters,278,283,138
"Muller-Landau, H.C., Condit, R.S., Chave, J., Thomas, S.C., Bohlman, S.A., Bunyavejchewin, S., Davies, S., Foster, R., Gunatilleke, S., Gunatilleke, N., Harms, K.E., Hart, T., Hubbell, S.P., Itoh, A., Kassim, A.R., LaFrankie, J.V., Lee, H.S., Losos, E., Makana, J.-R., Ohkubo, T., Sukumar, R., Sun, I.-F., Nur Supardi, M.N., Tan, S., Thompson, J., Valencia, R., Muñoz, G.V., Wills, C., Yamakura, T., Chuyong, G., Dattaraja, H.S., Esufali, S., Hall, P., Hernandez, C., Kenfack, D., Kiratiprayoon, S., Suresh, H.S., Thomas, D., Vallejo, M.I., Ashton, P.","Testing metabolic ecology theory for allometric scaling of tree size, growth and mortality in tropical forests",2006,Ecology Letters,575,588,138
"Valiente-Banuet, A., Verdú, M.",Facilitation can increase the phylogenetic diversity of plant communities,2007,Ecology Letters,1029,1036,138
"Guttal, V., Jayaprakash, C.",Changing skewness: An early warning signal of regime shifts in ecosystems,2008,Ecology Letters,450,460,140
"Etienne, R.S.",A new sampling formula for neutral biodiversity,2005,Ecology Letters,253,260,142
"James, M.C., Ottensmeyer, C.A., Myers, R.A.",Identification of high-use habitat and threats to leatherback sea turtles in northern waters: New directions for conservation,2005,Ecology Letters,195,201,142
"Peay, K.G., Bruns, T.D., Kennedy, P.G., Bergemann, S.E., Garbelotto, M.",A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,2007,Ecology Letters,470,480,142
"Hurlbert, A.H.",Species-energy relationships and habitat complexity in bird communities,2004,Ecology Letters,714,720,143
"Lennon, J.J., Koleff, P., Greenwood, J.J.D., Gaston, K.J.",Contribution of rarity and commonness to patterns of species richness,2004,Ecology Letters,81,87,143
"Brodribb, T.J., Feild, T.S.",Leaf hydraulic evolution led a surge in leaf photosynthetic capacity during early angiosperm diversification,2010,Ecology Letters,175,183,143
"Bakker, E.S., Ritchie, M.E., Olff, H., Milchunas, D.G., Knops, J.M.H.",Herbivore impact on grassland plant diversity depends on habitat productivity and herbivore size,2006,Ecology Letters,780,788,145
"Jones, O.R., Gaillard, J.-M., Tuljapurkar, S., Alho, J.S., Armitage, K.B., Becker, P.H., Bize, P., Brommer, J., Charmantier, A., Charpentier, M., Clutton-Brock, T., Dobson, F.S., Festa-Bianchet, M., Gustafsson, L., Jensen, H., Jones, C.G., Lillandt, B.-G., McCleery, R., Merilä, J., Neuhaus, P., Nicoll, M.A.C., Norris, K., Oli, M.K., Pemberton, J., Pietiäinen, H., Ringsby, T.H., Roulin, A., Saether, B.-E., Setchell, J.M., Sheldon, B.C., Thompson, P.M., Weimerskirch, H., Jean Wickings, E., Coulson, T.",Senescence rates are determined by ranking on the fast-slow life-history continuum,2008,Ecology Letters,664,673,145
"Saino, N., Szép, T., Romano, M., Rubolini, D., Spina, F., Møller, A.P.",Ecological conditions during winter predict arrival date at the breeding quarters in a trans-Saharan migratory bird,2004,Ecology Letters,21,25,147
"Finke, D.L., Denno, R.F.",Predator diversity and the functioning of ecosystems: The role of intraguild predation in dampening trophic cascades,2005,Ecology Letters,1299,1306,147
"Öckinger, E., Schweiger, O., Crist, T.O., Debinski, D.M., Krauss, J., Kuussaari, M., Petersen, J.D., Pöyry, J., Settele, J., Summerville, K.S., Bommarco, R.",Life-history traits predict species responses to habitat area and isolation: A cross-continental synthesis,2010,Ecology Letters,969,979,147
"Bell, G., Gonzalez, A.",Evolutionary rescue can prevent extinction following environmental change,2009,Ecology Letters,942,948,148
"Allison, S.D.","Cheaters, diffusion and nutrients constrain decomposition by microbial enzymes in spatially structured environments",2005,Ecology Letters,626,635,149
"Beaugrand, G., Edwards, M., Brander, K., Luczak, C., Ibanez, F.",Causes and projections of abrupt climate-driven ecosystem shifts in the North Atlantic,2008,Ecology Letters,1157,1168,149
"Bever, J.D., Richardson, S.C., Lawrence, B.M., Holmes, J., Watson, M.",Preferential allocation to beneficial symbiont with spatial structure maintains mycorrhizal mutualism,2009,Ecology Letters,13,21,149
"Murtaugh, P.A.",Performance of several variable-selection methods applied to real ecological data,2009,Ecology Letters,1061,1068,149
