month,day,is_retweet,favorite_count,text
12.0,3,FALSE,111106,The President of Taiwan CALLED ME today to wish me congratulations on winning the Presidency. Thank you!
12.0,2,FALSE,72196,"Thank you Ohio! Together, we made history – and now, the real work begins. America will start winning again!… https://t.co/sVNSNJE7Uf"
12.0,1,FALSE,31256,"Heading to U.S. Bank Arena in Cincinnati, Ohio for a 7pm rally. 
Join me! Tickets: https://t.co/HiWqZvHv6M"
12.0,1,FALSE,57249,Getting ready to leave for the Great State of Indiana and meet the hard working and wonderful people of Carrier A.C.
12.0,1,FALSE,65724,My thoughts and prayers are with those affected by the tragic storms and tornadoes in the Southeastern United States. Stay safe!
12.0,1,FALSE,67597,Look forward to going to Indiana tomorrow in order to be with the great workers of Carrier. They will sell many air conditioners!
11.0,30,FALSE,52300,'Donald Trump is already helping the working class' https://t.co/GTuNcQhLYx
11.0,30,TRUE,0,RT @DanScavino: Great interview on @foxandfriends by @SteveDoocy w/ Carrier employee- who has a message for #PEOTUS @realDonaldTrump &amp; #VPE…
11.0,30,FALSE,26141,"'President-elect Donald J. Trump today announced his intent to nominate Steven Mnuchin, Wilbur Ross &amp; Todd Ricketts… https://t.co/cEBxoWsnYp"
11.0,30,FALSE,30567,"Join me in Cincinnati, Ohio tomorrow evening at 7:00pm. I am grateful for all of your support. THANK YOU!
Tickets:… https://t.co/51Emq7Tffa"
11.0,30,FALSE,77536,"Hence, legal documents are being crafted which take me completely out of business operations. The Presidency is a far more important task!"
11.0,30,FALSE,50953,"do this under the law, I feel it is visually important, as President,  to in no way have a conflict of interest with my various businesses.."
11.0,30,FALSE,45403,great business in total in order to fully focus on running the country in order to MAKE AMERICA GREAT AGAIN! While I am not mandated to ....
11.0,30,FALSE,45241,I will be holding a major news conference in New York City with my children on December 15 to discuss the fact that I will be leaving my ...
11.0,30,FALSE,107641,ISIS is taking credit for the terrible stabbing attack at Ohio State University by a Somali refugee who should not have been in our country.
11.0,30,FALSE,83764,Big day on Thursday for Indiana and the great workers of that wonderful state.We will keep our companies and jobs in the U.S. Thanks Carrier
11.0,30,FALSE,70296,I will be going to Indiana on Thursday to make a major announcement concerning Carrier A.C. staying in Indianapolis. Great deal for workers!
11.0,29,FALSE,27788,"'President-Elect Donald J. Trump Nominates Elaine Chao as Secretary of the Department of Transportation'
https://t.co/5FMGdhAZxB"
