day,month,PrimaryType,n
16,3.0,ROBBERY,28.0
16,4.0,ROBBERY,25.0
16,5.0,ROBBERY,42.0
16,6.0,ROBBERY,29.0
16,7.0,ROBBERY,36.0
16,8.0,ROBBERY,37.0
16,9.0,ROBBERY,35.0
16,10.0,ROBBERY,49.0
16,11.0,ROBBERY,45.0
16,12.0,ROBBERY,32.0
17,1.0,ROBBERY,27.0
17,2.0,ROBBERY,20.0
17,3.0,ROBBERY,23.0
17,4.0,ROBBERY,25.0
17,5.0,ROBBERY,30.0
17,6.0,ROBBERY,26.0
17,7.0,ROBBERY,40.0
17,8.0,ROBBERY,44.0
17,9.0,ROBBERY,29.0
17,10.0,ROBBERY,37.0
17,11.0,ROBBERY,38.0
17,12.0,ROBBERY,35.0
18,1.0,ROBBERY,26.0
18,2.0,ROBBERY,29.0
18,3.0,ROBBERY,29.0
18,4.0,ROBBERY,32.0
18,5.0,ROBBERY,31.0
18,6.0,ROBBERY,28.0
18,7.0,ROBBERY,31.0
18,8.0,ROBBERY,29.0
18,9.0,ROBBERY,31.0
18,10.0,ROBBERY,36.0
18,11.0,ROBBERY,47.0
18,12.0,ROBBERY,29.0
19,1.0,ROBBERY,28.0
19,2.0,ROBBERY,23.0
19,3.0,ROBBERY,22.0
19,4.0,ROBBERY,16.0
19,5.0,ROBBERY,27.0
19,6.0,ROBBERY,38.0
19,7.0,ROBBERY,34.0
19,8.0,ROBBERY,32.0
19,9.0,ROBBERY,26.0
19,10.0,ROBBERY,41.0
19,11.0,ROBBERY,40.0
19,12.0,ROBBERY,36.0
20,1.0,ROBBERY,29.0
20,2.0,ROBBERY,32.0
20,3.0,ROBBERY,26.0
20,4.0,ROBBERY,28.0
20,5.0,ROBBERY,30.0
20,6.0,ROBBERY,31.0
20,7.0,ROBBERY,33.0
20,8.0,ROBBERY,40.0
20,9.0,ROBBERY,39.0
20,10.0,ROBBERY,43.0
20,11.0,ROBBERY,31.0
20,12.0,ROBBERY,32.0
21,1.0,ROBBERY,39.0
21,2.0,ROBBERY,33.0
21,3.0,ROBBERY,24.0
21,4.0,ROBBERY,19.0
21,5.0,ROBBERY,33.0
21,6.0,ROBBERY,31.0
21,7.0,ROBBERY,44.0
21,8.0,ROBBERY,32.0
21,9.0,ROBBERY,26.0
21,10.0,ROBBERY,32.0
21,11.0,ROBBERY,40.0
21,12.0,ROBBERY,47.0
22,1.0,ROBBERY,34.0
22,2.0,ROBBERY,26.0
22,3.0,ROBBERY,20.0
22,4.0,ROBBERY,26.0
22,5.0,ROBBERY,31.0
22,6.0,ROBBERY,36.0
22,7.0,ROBBERY,28.0
22,8.0,ROBBERY,48.0
22,9.0,ROBBERY,43.0
22,10.0,ROBBERY,38.0
22,11.0,ROBBERY,32.0
22,12.0,ROBBERY,41.0
23,1.0,ROBBERY,35.0
23,2.0,ROBBERY,19.0
23,3.0,ROBBERY,30.0
23,4.0,ROBBERY,20.0
23,5.0,ROBBERY,38.0
23,6.0,ROBBERY,42.0
23,7.0,ROBBERY,47.0
23,8.0,ROBBERY,44.0
23,9.0,ROBBERY,29.0
23,10.0,ROBBERY,42.0
23,11.0,ROBBERY,47.0
23,12.0,ROBBERY,32.0
24,1.0,ROBBERY,40.0
24,2.0,ROBBERY,21.0
24,3.0,ROBBERY,32.0
24,4.0,ROBBERY,24.0
24,5.0,ROBBERY,27.0
24,6.0,ROBBERY,37.0
24,7.0,ROBBERY,37.0
24,8.0,ROBBERY,48.0
24,9.0,ROBBERY,45.0
24,10.0,ROBBERY,38.0
24,11.0,ROBBERY,28.0
24,12.0,ROBBERY,36.0
25,1.0,ROBBERY,43.0
25,2.0,ROBBERY,13.0
25,3.0,ROBBERY,21.0
25,4.0,ROBBERY,30.0
25,5.0,ROBBERY,18.0
25,6.0,ROBBERY,31.0
25,7.0,ROBBERY,29.0
25,8.0,ROBBERY,40.0
25,9.0,ROBBERY,34.0
25,10.0,ROBBERY,35.0
25,11.0,ROBBERY,33.0
25,12.0,ROBBERY,25.0
26,1.0,ROBBERY,32.0
26,2.0,ROBBERY,30.0
26,3.0,ROBBERY,24.0
26,4.0,ROBBERY,30.0
26,5.0,ROBBERY,24.0
26,6.0,ROBBERY,30.0
26,7.0,ROBBERY,24.0
26,8.0,ROBBERY,43.0
26,9.0,ROBBERY,36.0
26,10.0,ROBBERY,43.0
26,11.0,ROBBERY,43.0
26,12.0,ROBBERY,29.0
27,1.0,ROBBERY,39.0
27,2.0,ROBBERY,24.0
27,3.0,ROBBERY,25.0
27,4.0,ROBBERY,40.0
27,5.0,ROBBERY,30.0
27,6.0,ROBBERY,29.0
27,7.0,ROBBERY,38.0
27,8.0,ROBBERY,44.0
27,9.0,ROBBERY,28.0
27,10.0,ROBBERY,29.0
27,11.0,ROBBERY,45.0
27,12.0,ROBBERY,44.0
28,1.0,ROBBERY,33.0
28,2.0,ROBBERY,23.0
28,3.0,ROBBERY,28.0
28,4.0,ROBBERY,29.0
28,5.0,ROBBERY,34.0
28,6.0,ROBBERY,29.0
28,7.0,ROBBERY,38.0
28,8.0,ROBBERY,43.0
28,9.0,ROBBERY,31.0
28,10.0,ROBBERY,29.0
28,11.0,ROBBERY,37.0
28,12.0,ROBBERY,52.0
29,1.0,ROBBERY,43.0
29,2.0,ROBBERY,14.0
29,3.0,ROBBERY,31.0
29,4.0,ROBBERY,32.0
29,5.0,ROBBERY,35.0
29,6.0,ROBBERY,25.0
29,7.0,ROBBERY,40.0
29,8.0,ROBBERY,63.0
29,9.0,ROBBERY,21.0
29,10.0,ROBBERY,35.0
29,11.0,ROBBERY,36.0
29,12.0,ROBBERY,29.0
30,1.0,ROBBERY,20.0
30,3.0,ROBBERY,28.0
30,4.0,ROBBERY,25.0
30,5.0,ROBBERY,39.0
30,6.0,ROBBERY,26.0
30,7.0,ROBBERY,52.0
30,8.0,ROBBERY,37.0
30,9.0,ROBBERY,41.0
30,10.0,ROBBERY,31.0
30,11.0,ROBBERY,34.0
30,12.0,ROBBERY,46.0
31,1.0,ROBBERY,37.0
31,3.0,ROBBERY,33.0
31,5.0,ROBBERY,40.0
31,7.0,ROBBERY,33.0
31,8.0,ROBBERY,35.0
31,10.0,ROBBERY,54.0
31,12.0,ROBBERY,43.0
1,1.0,SEX OFFENSE,35.0
1,2.0,SEX OFFENSE,6.0
1,3.0,SEX OFFENSE,6.0
1,4.0,SEX OFFENSE,5.0
1,5.0,SEX OFFENSE,6.0
1,6.0,SEX OFFENSE,11.0
1,7.0,SEX OFFENSE,9.0
1,8.0,SEX OFFENSE,3.0
1,9.0,SEX OFFENSE,5.0
1,10.0,SEX OFFENSE,2.0
1,11.0,SEX OFFENSE,4.0
1,12.0,SEX OFFENSE,6.0
2,1.0,SEX OFFENSE,2.0
2,2.0,SEX OFFENSE,9.0
2,3.0,SEX OFFENSE,1.0
2,4.0,SEX OFFENSE,2.0
2,5.0,SEX OFFENSE,0.0
2,6.0,SEX OFFENSE,5.0
2,7.0,SEX OFFENSE,2.0
2,8.0,SEX OFFENSE,2.0
2,9.0,SEX OFFENSE,2.0
2,10.0,SEX OFFENSE,3.0
2,11.0,SEX OFFENSE,2.0
2,12.0,SEX OFFENSE,0.0
3,1.0,SEX OFFENSE,3.0
3,2.0,SEX OFFENSE,2.0
3,3.0,SEX OFFENSE,1.0
3,4.0,SEX OFFENSE,2.0
3,5.0,SEX OFFENSE,4.0
3,6.0,SEX OFFENSE,3.0
3,7.0,SEX OFFENSE,3.0
3,8.0,SEX OFFENSE,2.0
3,9.0,SEX OFFENSE,1.0
3,10.0,SEX OFFENSE,5.0
3,11.0,SEX OFFENSE,1.0
3,12.0,SEX OFFENSE,1.0
4,1.0,SEX OFFENSE,3.0
4,2.0,SEX OFFENSE,0.0
4,3.0,SEX OFFENSE,2.0
4,4.0,SEX OFFENSE,2.0
4,5.0,SEX OFFENSE,2.0
4,6.0,SEX OFFENSE,2.0
4,7.0,SEX OFFENSE,1.0
4,8.0,SEX OFFENSE,2.0
4,9.0,SEX OFFENSE,4.0
4,10.0,SEX OFFENSE,1.0
4,11.0,SEX OFFENSE,3.0
4,12.0,SEX OFFENSE,0.0
5,1.0,SEX OFFENSE,2.0
5,2.0,SEX OFFENSE,4.0
5,3.0,SEX OFFENSE,1.0
5,4.0,SEX OFFENSE,0.0
5,5.0,SEX OFFENSE,2.0
5,6.0,SEX OFFENSE,1.0
5,7.0,SEX OFFENSE,2.0
5,8.0,SEX OFFENSE,3.0
5,9.0,SEX OFFENSE,1.0
5,10.0,SEX OFFENSE,5.0
5,11.0,SEX OFFENSE,1.0
5,12.0,SEX OFFENSE,4.0
6,1.0,SEX OFFENSE,4.0
6,2.0,SEX OFFENSE,2.0
6,3.0,SEX OFFENSE,1.0
6,4.0,SEX OFFENSE,3.0
6,5.0,SEX OFFENSE,4.0
6,6.0,SEX OFFENSE,4.0
6,7.0,SEX OFFENSE,1.0
6,8.0,SEX OFFENSE,5.0
6,9.0,SEX OFFENSE,5.0
6,10.0,SEX OFFENSE,3.0
6,11.0,SEX OFFENSE,0.0
6,12.0,SEX OFFENSE,1.0
7,1.0,SEX OFFENSE,2.0
7,2.0,SEX OFFENSE,2.0
7,3.0,SEX OFFENSE,2.0
7,4.0,SEX OFFENSE,0.0
7,5.0,SEX OFFENSE,2.0
7,6.0,SEX OFFENSE,1.0
7,7.0,SEX OFFENSE,2.0
7,8.0,SEX OFFENSE,4.0
7,9.0,SEX OFFENSE,7.0
7,10.0,SEX OFFENSE,1.0
7,11.0,SEX OFFENSE,1.0
7,12.0,SEX OFFENSE,4.0
8,1.0,SEX OFFENSE,2.0
8,2.0,SEX OFFENSE,2.0
8,3.0,SEX OFFENSE,3.0
8,4.0,SEX OFFENSE,1.0
8,5.0,SEX OFFENSE,1.0
8,6.0,SEX OFFENSE,0.0
8,7.0,SEX OFFENSE,4.0
8,8.0,SEX OFFENSE,4.0
8,9.0,SEX OFFENSE,5.0
8,10.0,SEX OFFENSE,2.0
8,11.0,SEX OFFENSE,4.0
8,12.0,SEX OFFENSE,1.0
9,1.0,SEX OFFENSE,6.0
9,2.0,SEX OFFENSE,1.0
9,3.0,SEX OFFENSE,1.0
9,4.0,SEX OFFENSE,4.0
9,5.0,SEX OFFENSE,3.0
9,6.0,SEX OFFENSE,6.0
9,7.0,SEX OFFENSE,0.0
9,8.0,SEX OFFENSE,2.0
9,9.0,SEX OFFENSE,5.0
9,10.0,SEX OFFENSE,3.0
9,11.0,SEX OFFENSE,3.0
9,12.0,SEX OFFENSE,2.0
10,1.0,SEX OFFENSE,4.0
10,2.0,SEX OFFENSE,2.0
10,3.0,SEX OFFENSE,3.0
10,4.0,SEX OFFENSE,3.0
10,5.0,SEX OFFENSE,2.0
10,6.0,SEX OFFENSE,1.0
10,7.0,SEX OFFENSE,4.0
10,8.0,SEX OFFENSE,3.0
10,9.0,SEX OFFENSE,3.0
10,10.0,SEX OFFENSE,3.0
10,11.0,SEX OFFENSE,2.0
10,12.0,SEX OFFENSE,1.0
11,1.0,SEX OFFENSE,2.0
11,2.0,SEX OFFENSE,1.0
11,3.0,SEX OFFENSE,5.0
11,4.0,SEX OFFENSE,2.0
11,5.0,SEX OFFENSE,3.0
11,6.0,SEX OFFENSE,2.0
11,7.0,SEX OFFENSE,4.0
